timestamp,eog_v,eog_h,gyro_x,gyro_y,gyro_z,label
0,2064,2031,-55,25,46,idle
5,2017,2040,180,99,-96,idle
10,2055,2038,-169,-12,8,idle
15,2049,2005,30,-58,-73,idle
20,2031,2077,53,-50,56,idle
25,2043,2047,-4,32,15,idle
30,2039,2000,100,71,2,idle
35,2025,1999,-27,25,-77,idle
40,2064,2019,47,56,-21,idle
45,2009,2085,3,-268,14,idle
50,2054,2081,70,119,80,idle
55,2058,2096,-35,58,23,idle
60,2052,2031,90,80,89,idle
65,2036,2022,12,-77,40,idle
70,2045,2066,89,-66,-140,idle
75,2112,2008,-121,-40,88,idle
80,2013,2039,-30,-4,-56,idle
85,2052,2009,-48,89,-33,idle
90,2084,2070,-3,-20,2,idle
95,2044,2011,0,71,-47,idle
100,2020,1994,-47,-1,3,idle
105,2015,2086,66,97,-96,idle
110,2059,2053,2,26,8,idle
115,2044,2063,0,120,8,idle
120,1993,2066,15,-18,-51,idle
125,2082,2082,82,19,72,idle
130,2008,2097,-56,135,42,idle
135,2013,2040,0,32,-36,idle
140,2022,2059,-103,11,-53,idle
145,2005,2068,-23,66,87,idle
150,2126,1989,-79,136,-71,idle
155,2053,2119,-109,-26,15,idle
160,2136,2094,-100,56,93,idle
165,2096,2074,8,-86,125,idle
170,1990,2078,49,-145,150,idle
175,2026,2107,-9,63,-1,idle
180,2042,2089,-84,39,-20,idle
185,2085,2016,-57,86,5,idle
190,2049,2009,-4,-64,19,idle
195,2061,1983,-35,-104,-150,idle
200,1992,1919,-107,113,-89,idle
205,2018,2053,29,-9,67,idle
210,2053,2081,56,-25,-68,idle
215,2021,2069,36,-155,-10,idle
220,2022,2104,36,-10,-78,idle
225,2028,2080,62,-45,-14,idle
230,2001,2034,-59,53,-96,idle
235,2061,2065,-1,-199,-57,idle
240,2085,2068,29,184,104,idle
245,2078,1973,-133,74,98,idle
250,2043,2021,-81,-82,-66,idle
255,2045,1979,78,-10,54,idle
260,2113,2009,-160,-9,28,idle
265,2112,2015,27,25,-70,idle
270,2085,2056,132,4,0,idle
275,2088,1992,-25,-92,-56,idle
280,2069,2114,27,-10,64,idle
285,2034,2006,-59,134,-2,idle
290,2073,2027,-17,65,-25,idle
295,2024,2091,80,39,171,idle
300,2007,2065,-15,37,110,idle
305,2026,2040,28,-53,40,idle
310,2042,2054,-145,20,86,idle
315,2087,2113,26,-25,-199,idle
320,1993,2062,78,-100,-17,idle
325,2057,2089,-50,-6,42,idle
330,2067,2049,-66,242,16,idle
335,1994,1978,-20,-125,13,idle
340,1941,1989,99,-13,-26,idle
345,2102,2047,98,30,-190,idle
350,2002,2031,73,-53,-172,idle
355,2017,2070,25,-45,78,idle
360,2096,2040,53,-11,14,idle
365,2108,2033,-57,-58,15,idle
370,2055,2048,99,112,169,idle
375,1983,2044,53,-73,84,idle
380,2026,2064,-57,67,104,idle
385,2072,2077,-27,-99,14,idle
390,2042,2044,49,109,59,idle
395,2078,2053,-67,18,118,idle
400,2040,2052,-15,64,-144,idle
405,2021,2019,0,-25,-14,idle
410,2028,2024,-88,-20,39,idle
415,2039,1989,29,23,-87,idle
420,1973,2064,103,17,-73,idle
425,1977,2050,82,66,-22,idle
430,1995,2036,-23,18,11,idle
435,1988,2021,-82,-76,27,idle
440,2009,2009,82,-15,18,idle
445,2006,1961,-108,41,37,idle
450,2033,2082,-5,-4,-79,idle
455,2055,2077,14,-129,-165,idle
460,2071,2057,-14,-1,-2,idle
465,2090,2099,-20,138,65,idle
470,2016,2005,38,-26,-81,idle
475,2033,2043,1,-146,-8,idle
480,2048,2158,-38,27,-244,idle
485,2034,2050,-113,92,41,idle
490,2074,2007,102,40,68,idle
495,1995,2023,19,-34,105,idle
500,2042,2076,-5,-26,-174,idle
505,2058,2055,-105,47,54,idle
510,1984,2089,20,31,-18,idle
515,2001,1964,-65,-103,-115,idle
520,2034,2018,73,12,-23,idle
525,2083,2078,-104,47,53,idle
530,2034,2049,89,91,-20,idle
535,2017,2031,112,36,62,idle
540,2109,2033,120,70,-76,idle
545,2098,2100,-36,-49,-21,idle
550,2039,2005,-77,-98,-24,idle
555,2031,2110,100,-64,110,idle
560,2018,2078,-13,-8,65,idle
565,2055,2027,-41,-2,93,idle
570,1978,2002,180,-21,-39,idle
575,1961,2055,151,52,-52,idle
580,2047,2078,-104,-118,-66,idle
585,1966,2056,164,-114,-77,idle
590,2071,2037,-57,79,-117,idle
595,2012,2056,-102,-87,-66,idle
600,2082,2054,0,-66,-29,idle
605,2021,2120,190,-23,60,idle
610,2070,2080,45,38,73,idle
615,2074,2054,122,-26,-7,idle
620,2063,1993,-80,-53,124,idle
625,2034,2021,-79,93,-12,idle
630,1940,2029,-95,111,-81,idle
635,2034,2009,-119,90,-5,idle
640,2056,1955,-25,-80,-27,idle
645,2004,2053,-48,36,65,idle
650,2080,1991,142,44,-58,idle
655,2074,2116,-126,153,27,idle
660,2131,2085,-52,54,36,idle
665,2042,2075,-8,-119,-30,idle
670,2104,2088,-107,79,-41,idle
675,2108,2101,-22,-42,-24,idle
680,2054,2020,-7,-33,57,idle
685,2033,2060,-92,21,-59,idle
690,1979,2064,82,-37,-18,idle
695,2050,2083,84,102,24,idle
700,2040,2054,98,2,-2,idle
705,2105,2040,13,85,35,idle
710,2025,2003,-10,-9,0,idle
715,2044,2074,-76,-11,90,idle
720,2038,1980,-19,-81,-157,idle
725,2010,2064,57,139,2,idle
730,2058,2051,-7,44,-114,idle
735,2057,2006,55,-82,-134,idle
740,1996,1942,-37,142,44,idle
745,2007,2122,-30,75,37,idle
750,2049,2041,71,74,-17,idle
755,1996,2002,94,-114,75,idle
760,2028,2056,-27,45,49,idle
765,2062,2025,-20,-120,-10,idle
770,2013,2097,90,-4,-90,idle
775,2090,2063,-27,54,-23,idle
780,2006,2053,33,-52,-118,idle
785,2068,1996,8,148,-29,idle
790,1983,2054,-1,-32,-1,idle
795,2012,1971,-35,56,-61,idle
800,2041,2017,-136,-20,11,idle
805,2099,2093,-97,-28,144,idle
810,2078,2037,15,-16,210,idle
815,2078,2014,58,30,7,idle
820,2018,2140,-92,31,-21,idle
825,2038,1971,-32,-40,-32,idle
830,1966,2080,34,-66,-22,idle
835,2096,2035,-237,31,68,idle
840,2091,2092,-76,-17,8,idle
845,1996,2026,110,42,85,idle
850,2003,2091,-7,-21,20,idle
855,2047,2125,100,-84,11,idle
860,2068,1999,-37,74,-26,idle
865,2012,2089,-44,-140,0,idle
870,2057,2078,84,-84,93,idle
875,2038,2067,72,-73,-79,idle
880,2110,1990,-26,0,41,idle
885,2030,2103,58,32,-27,idle
890,2011,2055,37,-8,161,idle
895,2030,2094,44,-97,-74,idle
900,1982,2035,-6,-7,160,idle
905,2068,2007,-129,18,-64,idle
910,2076,2040,-18,61,-27,idle
915,1970,2053,26,52,-156,idle
920,2060,2039,-21,-119,97,idle
925,2101,2052,21,70,28,idle
930,2105,2073,-53,-3,59,idle
935,2044,2038,-118,15,151,idle
940,2066,2041,5,31,-12,idle
945,2099,2060,-68,91,64,idle
950,2054,2040,38,46,57,idle
955,2040,2070,105,96,-72,idle
960,2064,1978,-54,94,33,idle
965,2073,2065,18,31,-44,idle
970,2064,2020,-92,185,99,idle
975,2000,2093,12,9,-92,idle
980,2119,2056,-89,23,-122,idle
985,2080,2059,138,-221,-28,idle
990,2079,2039,0,82,21,idle
995,2087,2071,86,-51,-21,idle
1000,2048,2058,-26,26,-43,idle
1005,2047,2023,-89,-66,-82,idle
1010,2003,2077,-7,-5,-82,idle
1015,2009,2035,28,86,-106,idle
1020,2036,1986,-33,19,24,idle
1025,2035,2056,-39,-62,24,idle
1030,2101,2055,75,1,65,idle
