timestamp,eog_v,eog_h,gyro_x,gyro_y,gyro_z,label
0,2042,2007,-60,76,-30,idle
5,2130,2007,-109,13,-103,idle
10,2059,2053,-25,-29,60,idle
15,2101,1991,-21,-50,29,idle
20,2041,2053,93,-30,-159,idle
25,2045,2032,12,25,78,idle
30,2078,2050,65,83,51,idle
35,2081,2076,67,126,-15,idle
40,2043,2088,28,-136,-2,idle
45,1953,2064,37,14,101,idle
50,2041,2013,-29,-59,-41,idle
55,2075,2073,-17,66,3,idle
60,2048,2106,26,-81,69,idle
65,2066,2060,21,80,38,idle
70,2058,1972,261,112,72,idle
75,1990,1998,38,-205,110,idle
80,2083,2061,-50,121,-49,idle
85,2024,2036,-86,-9,58,idle
90,2027,2139,-114,-49,23,idle
95,2071,2028,115,-19,63,idle
100,2018,2038,-73,-5,72,idle
105,2058,2070,67,25,-100,idle
110,2013,1952,67,62,-94,idle
115,2040,2083,-64,8,104,idle
120,2033,2038,34,-14,12,idle
125,2029,1991,80,-52,11,idle
130,2015,2031,-143,71,-4,idle
135,2046,2094,50,-36,61,idle
140,2052,2059,98,-33,25,idle
145,2085,1938,-8,-16,-26,idle
150,2025,2066,-41,-148,197,idle
155,2050,2035,-36,165,-30,idle
160,2136,2056,-201,-20,89,idle
165,2063,1996,-64,-8,24,idle
170,2067,2087,34,-62,19,idle
175,2065,2087,-106,-31,108,idle
180,1979,2053,-4,17,-34,idle
185,2038,2048,73,-115,64,idle
190,1962,2093,-13,-35,119,idle
195,2082,2067,72,-73,-7,idle
200,2116,2037,-94,79,-90,idle
205,2026,2040,-26,107,-30,idle
210,2118,2066,113,25,22,idle
215,2003,2121,-69,-23,-20,idle
220,2000,2029,-9,-24,53,idle
225,2070,2030,301,189,-114,idle
230,2015,2080,52,95,-123,idle
235,2028,2027,11,99,-74,idle
240,2091,2011,-119,-54,29,idle
245,2009,2006,-39,0,13,idle
250,2036,2106,-32,-3,-13,idle
255,2043,2014,-95,-119,-81,idle
260,2063,2038,-65,17,-54,idle
265,2077,1988,36,141,22,idle
270,2043,2045,-67,55,38,idle
275,2000,2032,21,-14,3,idle
280,2088,2041,-132,70,44,idle
285,2163,2031,-107,147,-113,idle
290,2080,2049,129,-61,56,idle
295,2070,2040,72,-1,-90,idle
300,2032,2039,46,-155,14,idle
305,2037,2020,51,-52,-158,idle
310,1992,2021,-26,99,47,idle
315,2072,2082,71,90,-95,idle
320,2042,2043,-55,119,106,idle
325,2099,2095,65,105,-33,idle
330,2006,2031,-47,84,89,idle
335,2102,2025,56,-45,108,idle
340,2035,2090,39,-142,-153,idle
345,2023,2042,33,31,58,idle
350,2028,2036,-128,-14,-89,idle
355,2023,2034,-64,137,-18,idle
360,1964,2104,79,-163,-125,idle
365,2073,2050,-18,21,103,idle
370,2078,2074,-15,-13,161,idle
375,2099,2091,-31,-43,59,idle
380,2076,2065,82,-109,-15,idle
385,2074,2005,14,77,2,idle
390,1980,2063,-25,-39,-25,idle
395,2055,2100,-52,-8,-116,idle
400,2002,2083,-10,-184,-49,idle
405,2036,2057,-25,94,77,idle
410,2103,2027,80,16,-26,idle
415,2049,2085,11,34,-27,idle
420,1943,1974,-15,-51,-110,idle
425,2007,2091,-297,6,26,idle
430,2025,2099,-7,-14,46,idle
435,2038,2013,20,172,-219,idle
440,2085,2052,-106,134,23,idle
445,2081,1977,92,116,-1,idle
450,2080,2046,-66,-7,6,idle
455,2057,2024,-93,-1,-42,idle
460,2036,1995,-81,-37,-35,idle
465,2033,2058,-66,-14,-56,idle
470,2065,2113,-19,44,-66,idle
475,2085,2086,-37,-26,3,idle
480,2110,2031,-11,-1,-102,idle
485,2051,2106,-38,124,-62,idle
490,2059,2085,-45,-48,94,idle
495,2107,2130,-180,-64,2,idle
500,2004,2037,23,-166,-32,idle
505,2080,2086,28,69,140,idle
510,2016,2124,95,127,3,idle
515,2111,1972,-79,124,-72,idle
520,2104,2078,53,19,-12,idle
525,2113,2005,5,-46,25,idle
530,2109,2023,102,155,-5,idle
535,2081,2051,66,-12,12,idle
540,2007,2061,99,14,-63,idle
545,2067,2117,15,-96,71,idle
550,2083,2056,2,-54,-143,idle
555,2067,2048,50,8,-44,idle
560,2043,2022,109,-61,-71,idle
565,2054,2005,0,-132,44,idle
570,2063,2002,-50,-99,106,idle
575,2006,2082,31,-75,88,idle
580,2075,2013,24,2,-14,idle
585,2070,2113,-86,62,123,idle
590,2042,2074,-78,15,-8,idle
595,2074,2099,-33,45,-24,idle
600,2094,2041,-31,32,18,idle
605,2007,2108,38,-20,63,idle
610,2106,2034,44,-37,-53,idle
615,2088,2048,-62,26,52,idle
620,2088,1990,-82,-1,-45,idle
625,2087,1993,-100,-53,-56,idle
630,2076,2022,-71,62,0,idle
635,2048,2065,9,158,-152,idle
640,2018,2063,60,-67,-119,idle
645,2068,2078,14,39,-128,idle
650,2053,2058,25,-3,-147,idle
655,2020,1983,-102,-58,101,idle
660,2118,2026,67,-100,64,idle
665,2081,2030,25,86,43,idle
670,2035,2066,24,6,-1,idle
675,1985,2080,-6,-137,29,idle
680,2014,2018,27,248,40,idle
685,2067,1988,0,-95,-65,idle
690,2037,2066,-12,18,17,idle
695,1995,2103,102,-90,-179,idle
700,2058,2103,-38,52,99,idle
705,2041,2034,16,23,6,idle
710,2031,2040,-60,-13,-27,idle
715,1998,2023,41,52,-56,idle
720,2061,2097,-38,16,-200,idle
725,2005,2041,28,10,-40,idle
730,2039,2076,9,-7,47,idle
735,2094,2049,-68,12,24,idle
740,2097,2084,196,46,-118,idle
745,2042,2114,-36,224,36,idle
750,1924,2041,43,12,111,idle
755,2078,2058,49,-11,66,idle
760,2010,2047,-97,105,105,idle
765,1992,2041,24,62,57,idle
770,2077,2020,-46,18,76,idle
775,1974,1998,-64,3,-96,idle
780,2076,1948,-36,39,-55,idle
785,2084,2048,293,-29,-155,idle
790,2068,2042,42,-62,68,idle
795,2056,2079,-54,-29,22,idle
800,2043,2035,-2,-51,22,idle
805,2028,1977,68,-81,-43,idle
810,2004,2074,106,33,33,idle
815,2142,2142,33,-83,-73,idle
820,2030,2031,-36,-75,-37,idle
825,2011,2079,47,-51,-130,idle
830,2044,2092,-72,148,-14,idle
835,2071,2004,-84,8,-86,idle
840,2088,2009,128,-78,28,idle
845,2038,2069,-81,-17,96,idle
850,2040,2019,27,-51,-117,idle
855,2015,1991,164,17,-61,idle
860,2037,2059,76,-55,16,idle
865,2082,2138,-145,3,-46,idle
870,2045,1984,68,81,25,idle
875,2033,2012,-89,149,6,idle
880,2054,2066,-60,15,-92,idle
885,2016,2022,77,126,46,idle
890,1961,2029,91,-141,-104,idle
895,2028,2036,77,76,217,idle
900,1928,2029,200,-48,30,idle
905,2037,2036,114,42,1,idle
910,2064,2022,67,68,-28,idle
915,2087,2078,3,-64,26,idle
920,2069,2030,64,47,58,idle
925,2049,2019,174,-10,31,idle
930,2006,2055,42,-153,-180,idle
935,2004,2075,-11,-36,-90,idle
940,2039,2060,-92,-60,1,idle
945,2013,2067,-15,-141,-14,idle
950,2009,2097,107,-35,8,idle
955,2049,1965,104,-30,-98,idle
960,2013,1998,73,-36,-143,idle
965,1975,2008,-52,73,38,idle
970,2039,1996,34,91,70,idle
975,2010,2051,-39,-14,-155,idle
980,2068,2049,-127,35,77,idle
985,2099,2094,43,16,58,idle
990,2078,2040,-142,124,-3,idle
995,2065,1999,-17,1,29,idle
1000,2102,2107,34,0,-68,idle
1005,2008,2097,-20,-24,-7,idle
1010,2024,2059,12,95,-32,idle
1015,2055,2122,88,-87,-172,idle
1020,2032,2165,-36,-51,-108,idle
1025,2053,2025,-64,-78,-15,idle
1030,2032,2024,175,103,28,idle
1035,2037,2083,-91,150,56,idle
1040,2030,2036,115,44,-25,idle
1045,2077,2083,-207,-39,-5,idle
1050,2040,2081,95,39,-143,idle
1055,1995,2027,-28,-101,-70,idle
1060,2043,2092,21,61,-191,idle
1065,2023,2081,-42,180,146,idle
1070,2105,2038,-51,43,-161,idle
1075,2062,2095,9,26,-38,idle
1080,2098,2174,25,-102,50,idle
1085,2052,2080,-72,99,99,idle
1090,2084,1993,43,45,-112,idle
1095,2078,2038,19,17,-44,idle
1100,2070,2031,85,-66,-19,idle
1105,1978,2018,-77,23,19,idle
1110,2055,2073,-100,-123,-72,idle
1115,2102,2127,89,97,-31,idle
1120,2048,2058,-146,14,12,idle
1125,2094,2009,105,-16,-134,idle
1130,2028,2070,28,-20,142,idle
1135,2035,2001,-18,27,89,idle
1140,2075,2085,39,-162,-135,idle
1145,1991,2058,89,34,-29,idle
1150,2114,2027,18,-132,-43,idle
1155,2036,2017,100,9,136,idle
1160,2100,2066,87,14,51,idle
1165,2024,2096,69,-71,-24,idle
1170,2078,2103,-92,-8,5,idle
1175,2031,2055,-128,-74,-16,idle
1180,1986,2060,-159,69,0,idle
1185,2031,2041,-90,-22,77,idle
1190,2043,2011,80,-103,67,idle
1195,2067,2016,98,-64,-127,idle
1200,2016,2103,-8,-18,62,idle
1205,2068,2020,23,3,-107,idle
1210,2037,2110,-121,5,26,idle
1215,1968,2024,10,74,-122,idle
1220,2087,1982,-76,161,-61,idle
1225,2091,2024,1,3,96,idle
1230,2033,2061,49,-56,-42,idle
1235,2040,2041,-119,133,53,idle
1240,2027,2069,7,135,26,idle
1245,2063,2135,98,-65,-74,idle
